major,college,catalog_year,requirement_group,course_code,course_title,credits,notes
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1025,Elementary Calculus (5F),3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1026,Elementary Calculus (5F),3,
Finance Major with Financial Accounting Option,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2115,"Principles of Accounting 1,#",3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2116,"Principles of Accounting 1,#",3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3054,Legal and Ethical Environment of Business #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3104,"Introduction to Finance 1,#",3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3134,"Financial Analytics 2,#",3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3144,"Investments: Debt, Equity and Derivatives 2,#",3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3154,"Corporate Financial Analytics and Strategy 2,#",3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3754,Internship in Business,1,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 3414,Operations and Supply Chain Management #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,BIT 3484,Advanced Business Analytics in Python and R #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,CS 1064,Introduction to Programming in Python #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,ECON 3254,Applied Econometrics #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,FIN 2164,Survey of Finance and Career Planning,1,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,FIN 3114,Python/SQL for Data Analytics and Finance #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,FIN 3414,Quantitative Methods for Finance #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,FIN 4144,International Financial Management #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,FIN 4214,Financial Modeling in Excel #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,FIN 4234,Venture Capital and Investment Banking #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,FIN 4414,FinTech – Quantitative Finance Capstone #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,MATH 1226,Calculus of a Single Variable #,4,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,MATH 2114,Introduction to Linear Algebra #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,STAT 3005,Statistical Methods #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,STAT 3006,Statistical Methods #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Major Requirements,STAT 3104,Probability and Distributions #,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1015,Communication Skills (1F),3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 1 - Discourse,COMM 1016,Communication Skills (1F),3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics 1,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2006,Principles of Economics 1,3,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1225,Calculus of a Single Variable (5F),4,
FinTech and Big Data Analytics Major,Pamplin College of Business,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,BIT 2406,"Introduction to Business Statistics, Analytics, and Modeling (5A) 1",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2115,"Principles of Accounting 1,#",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Degree Core Requirements,ACIS 2116,"Principles of Accounting 1,#",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3054,Legal and Ethical Environment of Business #,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3104,"Introduction to Finance 1,#",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3134,"Financial Analytics 2,#",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3144,"Investments: Debt, Equity and Derivatives 2,#",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Degree Core Requirements,FIN 3154,"Corporate Financial Analytics and Strategy 2,#",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1004,Foundations of Business Problem-Solving,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,BUS 1204,AI Literacy for Business,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,BUS 2004,Intermediate Applications of Business Problem-Solving,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3004,Advanced Applications of Business Problem-Solving,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3754,Internship in Business,1,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,BUS 3900,Bridge Experience,0,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,BUS 4004,Capstone in Business Problem-Solving,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,MGT 3404,Principles of Management 1,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,College Requirements,MKTG 3104,Marketing Management 1,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 2405,"Introduction to Business Statistics, Analytics, and Modeling #",3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Major Requirements,BIT 3414,Operations and Supply Chain Management #,3,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 2164,Survey of Finance and Career Planning,1,
Finance Major with Investment Management and Chartered Financial Analyst Option,Pamplin College of Business,2026-2027,Major Requirements,FIN 4144,International Financial Management #,3,
